name,group,id,22:6 n-3 (DHA) (g),22:0 (g),14:1 (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Phytosterols (mg),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",15:0 (g),17:0 (g),24:0 (g),16:1 t (g),18:1 t (g),22:1 t (g),18:2 t not further defined (g),18:2 i (g),"18:2 t,t (g)",18:2 CLAs (g),24:1 c (g),"20:2 n-6 c,c (g)",16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)",22:1 c (g),"18:3 n-6 c,c,c (g)",17:1 (g),20:3 undifferentiated (g),"Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",13:0 (g),15:1 (g),"18:3 n-3 c,c,c (ALA) (g)",20:3 n-3 (g),20:3 n-6 (g),20:4 n-6 (g),18:3i (g),21:5 (g),22:4 (g),18:1-11t (18:1t n-7) (g)
"Pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, broiled",1000,10068,,,,0.171,,0.04,,,,,,,,2.651,0.605,,0.011,,,0.033,,,,0.019,,,0.019,,2.405,0.488,,,0.003,,0.033,0.019,,,0.02,,,,,,,
"Pork, fresh, loin, top loin (roasts), boneless, separable lean only, cooked, roasted",1000,10069,,,,0.145,,0.038,,,,,,,,2.464,0.631,,0.013,,,0.032,,,,0.019,,,0.019,,2.247,0.52,,,0.002,,0.032,0.019,,,0.02,,,,,,,
"Pork, fresh, shoulder, whole, separable lean and fat, raw",1000,10070,,,,0.51,,0.13,,,,,,,,8.01,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",1000,10071,,,,0.58,,0.19,,,,,,,,9.47,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, whole, separable lean only, raw",1000,10072,,,,0.23,,0.05,,,,,,,,3.23,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",1000,10073,,,,0.38,,0.14,,,,,,,,6.17,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, arm picnic, separable lean and fat, raw",1000,10074,,,,0.56,,0.15,,,,,,,,8.97,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, braised",1000,10075,,,,0.62,,0.2,,,,,,,,10.38,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, roasted",1000,10076,,,,0.64,,0.2,,,,,,,,10.72,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, arm picnic, separable lean only, raw",1000,10077,,,,0.19,,0.04,,,,,,,,2.78,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
